party,mean_post,median_post,std_dev_post,int_l,int_r,n_muestra
prd,5.440765343853904,5.4188678638359296,0.2783134912080197,4.895270901086186,5.9862597866216225,12
otros,3.8473418170577713,3.8380359195093576,0.17347949342847788,3.5073220099379547,4.187361624177588,12
pt,1.248017718995035,1.2419823214874746,0.07273458264248296,1.1054579370157684,1.3905775009743016,12
mc,0.8034611022877123,0.7899688241922637,0.07810978744400777,0.6503659188974571,0.9565562856779675,12
pan_na,48.02693265065566,48.02510984254623,0.5337902686603377,46.980703724081394,49.073161577229925,13
pri_pvem,41.146296711204265,41.15591073868195,0.5121514642973825,40.1424798411814,42.15011358122713,13
prd,5.30842256624038,5.298115202663267,0.30873517409693446,4.703301625010389,5.913543507470371,13
otros,3.498503424799827,3.4921942433399895,0.12228980429766396,3.2588154083764054,3.738191441223248,13
pt,1.1413018436394524,1.1405357430930523,0.0550877536796931,1.033329846427254,1.2492738408516508,13
mc,0.8785428034604162,0.8634665111176663,0.10994598345752063,0.6630486758836758,1.0940369310371567,13
pan_na,47.42909914717201,47.417343191015945,0.537156015367098,46.3762733570525,48.481924937291524,14
pri_pvem,41.703100284074495,41.72212343805456,0.5278432960863334,40.66852742374528,42.73767314440371,14
prd,5.052941771610582,5.045504421673515,0.23428656713172452,4.593740100032402,5.512143443188762,14
otros,3.6317790517668196,3.6260783509254297,0.11277102416393846,3.4107478444055004,3.852810259128139,14
pt,1.2362415707779113,1.2333373460566783,0.06809551775317856,1.1027743559816814,1.3697087855741412,14
mc,0.946838174598184,0.9309043216419612,0.1372339857654728,0.6778595624978573,1.2158167866985106,14
pan_na,47.65686009479296,47.66107442864814,0.5704319714360933,46.53881343077822,48.7749067588077,15
pri_pvem,41.32382394476001,41.31164044495986,0.5620798238861805,40.2221474899431,42.42550039957692,15
prd,5.240739621219855,5.220653834737147,0.27184731320530303,4.707918887337461,5.773560355102249,15
otros,3.558759733705904,3.559732302926278,0.12201739604919055,3.31960563744949,3.7979138299623174,15
pt,1.306899318128647,1.3067363528160494,0.079392351463278,1.1512903092606221,1.4625083269966719,15
mc,0.912917287392619,0.8960662725760589,0.11254010435934282,0.6923386828483071,1.133495891936931,15
pan_na,48.147414285496225,48.099760160643655,0.5261232468330556,47.116212721703434,49.17861584928902,16
pri_pvem,41.36477368631549,41.37384646557539,0.5183401555920292,40.34882698135511,42.380720391275865,16
prd,4.764436850593374,4.736488307552936,0.2448868743601284,4.2844585768475225,5.244415124339226,16
otros,3.507038119142906,3.5057762766611185,0.11162796111212347,3.2882473153631437,3.725828922922668,16
pt,1.1637626798198712,1.1583332061085274,0.0701290345399603,1.026309772121549,1.3012155875181934,16
mc,1.0525743786321358,1.0065135049691771,0.20357561414056433,0.6535661749166297,1.4515825823476418,16
pan_na,47.78592488967474,47.76471032819466,0.5252030221231141,46.75652696631344,48.81532281303604,17
pri_pvem,41.11049585736997,41.16585601410574,0.5090000647822638,40.11285573039673,42.10813598434321,17
prd,5.195517023704513,5.18325108890184,0.2640865847398287,4.677907317614449,5.713126729794577,17
otros,3.669545983470363,3.656233729986819,0.1629767315646342,3.35011158960368,3.9889803773370462,17
pt,1.2112819710186704,1.2062542167222785,0.06531198762467834,1.083270475274301,1.3392934667630398,17
mc,1.0272342747617458,1.0028408339646533,0.15788701638681785,0.7177757226435828,1.3366928268799088,17
pan_na,47.559900964570204,47.55999617273412,0.45629096423538007,46.66557067466886,48.45423125447155,18
pri_pvem,41.19924925184627,41.23085580499782,0.4821575950452432,40.25422036555759,42.14427813813494,18
prd,5.199655648955619,5.184238025287753,0.25588674481287144,4.698117629122391,5.7011936687888465,18
otros,3.913780824488629,3.896359734353233,0.15819897369336502,3.6037108360496335,4.223850812927624,18
pt,1.3115023571535445,1.3106914731853747,0.07188708076733652,1.1706036788495648,1.452401035457524,18
mc,0.8159109529857297,0.8083678461469648,0.09000425542766588,0.6395026123475046,0.9923192936239548,18
pan_na,48.42992638728762,48.42155101801535,0.4909908977007185,47.46758422779421,49.39226854678103,19
pri_pvem,40.55895540811086,40.551987797750066,0.48054444038922955,39.61708830494797,41.50082251127375,19
prd,5.113847710713246,5.102009478343231,0.2508870098523302,4.622109171402679,5.605586250023814,19
otros,3.700220554106786,3.7007663940527804,0.12295778044350612,3.459223304437514,3.941217803776058,19
pt,1.3728604357418446,1.3689507769337301,0.08895131653891436,1.1985158553255724,1.5472050161581168,19
mc,0.8241895040396306,0.8200008298813951,0.06869096973699183,0.6895552033551267,0.9588238047241346,19
pan_na,48.17687927191683,48.167711775811874,0.5112374750584358,47.1748538208023,49.178904723031366,2
pri_pvem,40.73481351862247,40.7471898143109,0.48771749076776333,39.77888723671765,41.69073980052728,2
prd,5.217647033325087,5.206994061184949,0.2562527618064927,4.715391620184361,5.719902446465813,2
otros,3.7472779682868858,3.7413042252087956,0.16043646238969445,3.4328225020030847,4.061733434570687,2
pt,1.1909600978376702,1.1889699704844443,0.06281217478766736,1.067848235253842,1.3140719604214983,2
mc,0.9324221100110546,0.9186689454014175,0.12011324880774711,0.6970001423478702,1.167844077674239,2
pan_na,48.195035424994764,48.205374332373665,0.5121447257949807,47.1912317624366,49.198839087552926,20
pri_pvem,40.412480448738755,40.43020731635158,0.48076250443489443,39.47018594004636,41.35477495743115,20
prd,5.398022218976449,5.388772007286192,0.29350606449477873,4.822750332566683,5.9732941053862145,20
otros,3.8097853924551286,3.813202677046848,0.14129313732684892,3.5328508432945047,4.086719941615753,20
pt,1.2708416681707122,1.2694257527837989,0.07180577551729614,1.1301023481568118,1.4115809881846126,20
mc,0.9138348466641879,0.898874746413227,0.11861656305755329,0.6813463830713835,1.1463233102569923,20
pan_na,47.65369637569214,47.66022743922495,0.498189654271387,46.67724465332022,48.63014809806406,21
pri_pvem,41.267906341633314,41.27884811116185,0.48626832759716565,40.31482041954287,42.22099226372376,21
prd,5.025339691392696,5.01151103958618,0.24935638271139146,4.536601181278368,5.514078201507023,21
otros,3.703482053543673,3.697941117192485,0.12529698979975878,3.457899953536146,3.9490641535512006,21
pt,1.1976873941275519,1.1969333341014223,0.05627477335594778,1.0873888383498942,1.3079859499052096,21
mc,1.1518881436106245,1.1080837228718075,0.22763741797976722,0.7057188043702808,1.5980574828509684,21
pan_na,48.114571762497285,48.10240866633501,0.572406142950573,46.99265572231416,49.23648780268041,22
pri_pvem,40.97196899526153,40.97919730397313,0.5598578215646955,39.874647664994725,42.06929032552833,22
prd,5.335369221011267,5.317749046820351,0.27241844096459067,4.8014290767206695,5.869309365301865,22
otros,3.6777566999091973,3.6740540754960964,0.1595429157049102,3.3650525851275734,3.990460814690821,22
pt,1.1467404554424094,1.145671498801848,0.061216653012504146,1.0267558155379013,1.2667250953469176,22
